time,side,HoldingReturn,LastReturn,AccReturnMaxDrawdown,EntryPrice,LastPrice,MaxReturn,
2018-02-05T17:06:00.000,1.0,5.899999999998684E-4,-7.00000000000145E-5,1.1999999999989797E-4,1.23723,1.23782,6.599999999998829E-4,
2018-02-05T17:56:00.000,-1.0,6.000000000017103E-5,-1.7000000000000348E-4,2.6999999999999247E-4,1.23781,1.23775,3.20000000000098E-4,
2018-02-05T18:16:00.000,1.0,-1.1999999999989797E-4,-1.8999999999991246E-4,5.599999999998939E-4,1.23779,1.23767,4.3999999999999595E-4,
2018-02-05T18:34:00.000,-1.0,-0.0,-4.8000000000003595E-4,7.900000000000684E-4,1.23734,1.23734,7.900000000000684E-4,
2018-02-05T19:06:00.000,1.0,-1.0000000000065512E-5,9.999999999843467E-6,4.199999999998649E-4,1.2378,1.23779,3.9999999999995595E-4,
2018-02-05T19:48:00.000,-1.0,-4.6999999999997044E-4,-1.80000000000069E-4,4.6999999999997044E-4,1.23791,1.23838,-2.8999999999990145E-4,
2018-02-05T19:54:00.000,1.0,-1.80000000000069E-4,-1.2999999999996348E-4,2.2999999999995246E-4,1.23856,1.23838,4.999999999988347E-5,
2018-02-05T20:14:00.000,-1.0,4.0000000000040004E-5,-1.0000000000065512E-5,3.6999999999998145E-4,1.23841,1.23837,4.1000000000002146E-4,
2018-02-05T20:28:00.000,1.0,-2.1000000000004349E-4,-1.9999999999997797E-4,3.20000000000098E-4,1.23851,1.2383,1.100000000000545E-4,
2018-02-05T20:38:00.000,-1.0,-1.1999999999989797E-4,-1.9999999999997797E-4,3.8999999999989043E-4,1.23828,1.2384,2.6999999999999247E-4,
2018-02-05T21:30:00.000,1.0,7.00000000000145E-5,-2.6999999999999247E-4,3.8000000000004697E-4,1.23626,1.23633,4.5000000000006146E-4,
2018-02-05T21:48:00.000,-1.0,-3.500000000000725E-4,-3.500000000000725E-4,3.500000000000725E-4,1.23637,1.23672,-3.500000000000725E-4,
2018-02-05T21:52:00.000,1.0,1.2999999999996348E-4,-2.4000000000001798E-4,4.999999999999449E-4,1.23683,1.23696,6.299999999999084E-4,
2018-02-05T22:14:00.000,-1.0,-2.300000000001745E-4,-2.300000000001745E-4,2.300000000001745E-4,1.23714,1.23737,-2.300000000001745E-4,
2018-02-05T22:18:00.000,1.0,-1.8999999999991246E-4,-4.5000000000006146E-4,4.999999999999449E-4,1.23735,1.23716,3.1000000000003247E-4,
2018-02-05T22:32:00.000,-1.0,-4.0000000000040004E-5,-4.0000000000040004E-5,4.0000000000040004E-5,1.23742,1.23746,-4.0000000000040004E-5,
2018-02-05T22:38:00.000,1.0,-4.5000000000006146E-4,-4.1000000000002146E-4,5.100000000000104E-4,1.23754,1.23709,5.999999999994898E-5,
2018-02-05T22:46:00.000,-1.0,6.299999999999084E-4,-5.999999999994898E-5,3.4000000000000696E-4,1.23711,1.23648,6.899999999998574E-4,
