time,open,high,low,close,signal,SMA:10,SMA:2,10-2 crossover,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,
2018-02-05T01:42:00.000,1.24513,1.24527,1.24508,1.24516,0.0,1.245109,1.245145,3.599999999992498E-5,0.917647058823514,0.7882352941175702,0.6705882352940562,0.48235294117648597,0.32941176470568256,0.08235294117648595,0.35294117647054213,0.2352941176470281,0.517647058823514,0.5529411764705421,
2018-02-05T01:44:00.000,1.24524,1.24556,1.24524,1.24548,1.0,1.24511,1.24532,2.1000000000004349E-4,0.7701149425287415,0.6551724137931122,0.4712643678161565,0.32183908045960874,0.080459770114966,0.34482758620688775,0.2298850574712585,0.5057471264368197,0.540229885057483,0.9080459770113946,
2018-02-05T01:46:00.000,1.24549,1.24574,1.24549,1.24555,1.0,1.245129,1.245515,3.8599999999999746E-4,0.5428571428571066,0.3904761904762126,0.26666666666651156,0.06666666666668077,0.2857142857142555,0.19047619047617034,0.41904761904761706,0.44761904761902144,0.7523809523808094,0.8190476190474901,
2018-02-05T01:48:00.000,1.24555,1.24558,1.24522,1.24533,1.0,1.245136,1.2454399999999999,3.0399999999985994E-4,0.3904761904762126,0.26666666666651156,0.06666666666668077,0.2857142857142555,0.19047619047617034,0.41904761904761706,0.44761904761902144,0.7523809523808094,0.8190476190474901,0.6095238095237874,
2018-02-05T01:50:00.000,1.24533,1.24534,1.24513,1.24523,1.0,1.245149,1.2452800000000002,1.3100000000010326E-4,0.26666666666651156,0.06666666666668077,0.2857142857142555,0.19047619047617034,0.41904761904761706,0.44761904761902144,0.7523809523808094,0.8190476190474901,0.6095238095237874,0.5142857142857022,
2018-02-05T01:52:00.000,1.24522,1.2453,1.24518,1.24521,0.0,1.245173,1.24522,4.6999999999908226E-5,0.06666666666668077,0.2857142857142555,0.19047619047617034,0.41904761904761706,0.44761904761902144,0.7523809523808094,0.8190476190474901,0.6095238095237874,0.5142857142857022,0.4952380952379583,
2018-02-05T01:54:00.000,1.24522,1.24539,1.24522,1.24523,0.0,1.24522,1.24522,0.0,0.22680412371142045,0.12371134020629176,0.37113402061864637,0.4020618556701621,0.7319587628864823,0.8041237113400953,0.5773195876289038,0.47422680412377505,0.45360824742261197,0.47422680412377505,
2018-02-05T01:56:00.000,1.24523,1.24527,1.24519,1.2452,0.0,1.245241,1.245215,-2.6000000000081513E-5,0.022988505747273118,0.29885057471276394,0.3333333333334184,0.701149425287236,0.7816091954021815,0.5287356321839638,0.4137931034483639,0.3908045977010908,0.4137931034483639,0.3793103448277094,
2018-02-05T01:58:00.000,1.24521,1.24536,1.24521,1.24532,0.0,1.245284,1.24526,-2.4000000000024002E-5,0.2738095238096749,0.30952380952392283,0.6904761904760772,0.7738095238094105,0.5119047619048375,0.39285714285725615,0.36904761904758127,0.39285714285725615,0.3571428571430082,0.5,
2018-02-05T02:00:00.000,1.24531,1.24531,1.24481,1.24487,-1.0,1.245258,1.245095,-1.6299999999991321E-4,0.3763440860215439,0.7204301075267507,0.7956989247310595,0.5591397849462597,0.4516129032258527,0.430107526881628,0.4516129032258527,0.41935483870975443,0.5483870967741473,0.06451612903219645,
